Replies,
King Kohli ,
"India bury the 2019 Ghost enter to Final ,,,Finally congratulation team India & all indian fans too",
Shreyas ka stike rate aur Shami ki wickets X' Factor..,
sheresh aiyer  best innings love it,
This is the same Soheb qho asked Virat to retire a couple of years back?,
Shoaib Actor should just move to India and apply for citizenship like adnan Sami.,
"These 3 anchors are jokers. Behave like anchors and not just any other overexcited fan. 
Just watch The pavallion show and learn something from neighbours.",
"Bhai Shoaib ko jaane dete. Ise kyu end tak khali baitha rakha hai ? Thodi ijjat kar lo, bada player tha.",
All 3 anchors are jokers,
Thank you Zee news to keep  Akash Chopra aside from commentary,
Like Hitman fans only ,
Fanty kya hota he,
Ye teen host k naam pe namoono ko bharti karne ka bajaay shoaib aur akash ko hi show karna chahiye,
Ye tin bandar ko hataao yaar,
Shreyash iyer,
Hi,
"If ind will lose then b'cos of Rohit,
Openers should stay for 2p over.",
2 theek hain 3 bheek hain,
India should have scored 430 easily..becos of kohli slow and selfish  inning 30-40 runs are short,
TUK TUK Chokli can make even double century by tuk tuk ,
