யாரெல்லாம் நிக்சன் சீக்கிரம் பிக்பாஸ் விட்டு வெளியேறினால் மிகவும் நல்லது என்று நினைக்கிறீர்கள் ️,
Nice to see archana standing up for vichu,
The ending archana thug life,
Mass archana correct point super ,
அர்ச்சனா மாஸ் ,
"Archu to Nixon: veliya poi pathuka
Vichu:",
விஷ்ணு மணி கார்டன் ஏரியாவில் விக்ரமை கலாய்ததை பார்த்து யாருக்கெல்லாம் சிரிப்பு வந்தது ️,
"Nixen 
Archana 
Vichitra 
Dinesh
Poornima 
Vishnu 
Raveena
Mani
Saravanan (mixture)",
Archana solvathu correct ️,
அர்ச்சனா தெளிவான விளக்கம் ,
Archana conveying right points at the right time in a compelling manner,
Archana always on point ,
Archana and vichu rocked bully gangs shocked ,
சரியான பதில் கொடுத்தீங்க அர்ச்சனா ,
Archana semma point ,
"Archana sister is on point, this week Maya sister and Poornima sister are silent  Gana Bala mode on",
Archana and vichitra again fire ,
Mani is the best performer this week! Laughed a lot ,
யாருலாம் நேத்து விக்ரம் நைட் மிஸ்ட்டர் சாப்பிடும்போது கீழ விக்ரம் இந்த போட்டியில் தொடர வேண்டும் என்றல் ஹோட்ஸ்டார் ல வோட்டை போடுங்கனு சொன்னதும் பாத்து சிரிப்பு வந்துச்சு,
சனியான  பதில் அர்ச்சணா,
What Archana telling is true  sema,
Archchana ,
Archana sema ,
Archana game on,
Archana on fire ,
விசித்திரா madam  அர்ச்சனா தினேஷ்  மூவரும் strongest contestant  என்று நினைப்பவர்கள் ,
"இத தான் எதிர்பார்தேன் அர்ச்சனா

",
"If Vichu & Archana were that interested in Aishu's welfare, why didn't they call her & talk to her about Nixen issue? Neither care for Aishu or Pradeep. Their ONLY interest is to BRAND HMs as evil & deceptive.",
Archana Vera level ,
Nixen ,
Archana on fire,
Viccu and arcana  well done both of you ,
Archana.. Vera level.. ,
Wow Archana ,
Oru vazhiyil vichitra is the best find in bb7,
Aishu,
அர்ச்சனா பதிலளிக்கும் விதம்,
Archana rocks ,
Nixen clarity point ,
Nixon closed his mouth  because of Archana ,
"அர்ச்சனா சும்மா கிழி, கிழி,,,, Vera leval, super point ",
0:35 Archana keep rock...,
இந்த வாரம் double eviction இருக்கும் என்று யாரெல்லாம் நினைக்கிறீங்க️,
உண்மையை உரக்க சொல்லும் அர்ச்சனா மற்றும் சுசித்ரா அவர்களுக்கு வாழ்த்துக்கள்,
ரவீணா போல் இருப்பது ரொம்ப கஷ்டம் அதை விக்ரம் ரொம்ப அழகா நடித்து காட்டினார் good job ,
Super arcahana ,
அர்ச்சனா சொல்வது முற்றிலும் உண்மையே.....,
தலைவி அர்ச்சனா ,
Archana and vichu,
ALWAYS AKSHAYA DAA. Akshaya so cute. I'm always support Akshaya. I'm big fan of Akshaya ,
that look on vishnu face . Priceless!,
Archana mass ,
Archana speech rocked nixson shocked,
அர்ச்சனா ,
Archana  Vichu Mass ,
Va thala va thala archana army,
Archana end point super ,
Archana mass ️,
Meanwhile Nixen as Vichitra,
Super Archana,
மத்தவங்க விளையாடற விளையாட்டுல Mani - Raveena நல்ல enjoy பண்றாங்க.... யாரு கண்ணுக்கும் தெரியறதில்லை.....,
தரமான செருப்படி சூப்பர்,
Nixen is fire ,
வெளியே போய் பார்த்துக்கோ அர்ச்சனா சொல்லவும் நிக்சன் க்கு  தல்லிருக்கும் ,
Nixen points valid good play nixen ,
Super archana,
யாருக்கெல்லாம் நிக்சன் உடைய கேரக்டர் பேச்சு நடவடிக்கை எதுவுமே சுத்தமாக பிடிக்கவில்லை எரிச்சல் தருகிறது ️,
மாயாவை கமல் அவர்கள் ஜெயிக்க வைப்பார் என்பதே நிதர்சனமான உண்மை!,
Always Nixen ,
Nixen correct point ,
Achu semma slap for mix ,
Archana on fire ... Nickson worst game ,
"Nixen ️ evan thiruntha maatan, after getting ishu eliminated nixen has a 2nd changes to correct his game",
Vichu is always 100% correct ,
Nixen ,
"Eventhough Archana sometimes cries, she always speaks on point whenever needed  Much needed clarity and presence of mind ",
Semma archana,
"இந்த வாரம்  வெளியேறும்‌ நபர் யார்?
1.sooniyakari  Poorinima
2. Sombu Gana bala️
3. Title winner Vikram 
4. Jalra Akshaya
5. Brainless bravo",
Archama correct ah solluranga,
"Archana army 
Va thalavi sema speech  on ",
Archana ,
Archanaa semmaaa,
Archana points trueee,
அர்ச்சனா சொல்வது மிகவும் சரியானது  என்று  சொல்பவர்,
Archanaaaa. Vera level maaaa,
Archana presence of mind in handling situation is good,
Valid point archana,
Archana point Vera level ,
Archchana super ,
அர்ச்சனா நெத்திஅடி ,
Acchu and Vichu madam ,
Nalla badhiladi to mani and raveena,
Nixen carity point ,
Vichu Amma ,
விக்ரம் டம்மி பீஸா இருந்தாலும் இப்படி கலாய்க்க கூடாது.. பிக்பாஸ் ம் சேர்ந்து கலாய்ப்பது சரியல்ல,
Again Vichu Archu VS Nixen ,
Somehow housemates want to split Vichithra and Archana combo.. Archana points are correct . Vichithra is a dignified woman and player .,
"Dinesh 
Vichitra 
Archana ",
What a BGM ,
Last dialogues,
